Trace1,
Freq,,Amp,,
            77833328,Hz,              -84.90, dBm,
            77849994,Hz,              -84.89, dBm,
            77866660,Hz,              -84.86, dBm,
            77883326,Hz,              -84.84, dBm,
            77899992,Hz,              -84.82, dBm,
            77916658,Hz,              -84.80, dBm,
            77933324,Hz,              -84.79, dBm,
            77949990,Hz,              -84.79, dBm,
            77966656,Hz,              -84.81, dBm,
            77983322,Hz,              -84.82, dBm,
            77999988,Hz,              -84.81, dBm,
            78016654,Hz,              -84.80, dBm,
            78033320,Hz,              -84.79, dBm,
            78049986,Hz,              -84.79, dBm,
            78066652,Hz,              -84.80, dBm,
            78083318,Hz,              -84.80, dBm,
            78099984,Hz,              -84.78, dBm,
            78116650,Hz,              -84.75, dBm,
            78133316,Hz,              -84.73, dBm,
            78149982,Hz,              -84.73, dBm,
            78166648,Hz,              -84.76, dBm,
            78183314,Hz,              -84.79, dBm,
            78199980,Hz,              -84.81, dBm,
            78216646,Hz,              -84.80, dBm,
            78233312,Hz,              -84.79, dBm,
            78249978,Hz,              -84.79, dBm,
            78266644,Hz,              -84.79, dBm,
            78283310,Hz,              -84.78, dBm,
            78299976,Hz,              -84.75, dBm,
            78316642,Hz,              -84.73, dBm,
            78333308,Hz,              -84.73, dBm,
            78349974,Hz,              -84.74, dBm,
            78366640,Hz,              -84.77, dBm,
            78383306,Hz,              -84.79, dBm,
            78399972,Hz,              -84.81, dBm,
            78416638,Hz,              -84.83, dBm,
            78433304,Hz,              -84.83, dBm,
            78449970,Hz,              -84.80, dBm,
            78466636,Hz,              -84.75, dBm,
            78483302,Hz,              -84.70, dBm,
            78499968,Hz,              -84.67, dBm,
            78516634,Hz,              -84.66, dBm,
            78533300,Hz,              -84.67, dBm,
            78549966,Hz,              -84.69, dBm,
            78566632,Hz,              -84.69, dBm,
            78583298,Hz,              -84.70, dBm,
            78599964,Hz,              -84.71, dBm,
            78616630,Hz,              -84.71, dBm,
            78633296,Hz,              -84.69, dBm,
            78649962,Hz,              -84.67, dBm,
            78666628,Hz,              -84.65, dBm,
            78683294,Hz,              -84.64, dBm,
            78699960,Hz,              -84.64, dBm,
            78716626,Hz,              -84.62, dBm,
            78733292,Hz,              -84.60, dBm,
            78749958,Hz,              -84.58, dBm,
            78766624,Hz,              -84.58, dBm,
            78783290,Hz,              -84.61, dBm,
            78799956,Hz,              -84.64, dBm,
            78816622,Hz,              -84.65, dBm,
            78833288,Hz,              -84.64, dBm,
            78849954,Hz,              -84.61, dBm,
            78866620,Hz,              -84.55, dBm,
            78883286,Hz,              -84.50, dBm,
            78899952,Hz,              -84.45, dBm,
            78916618,Hz,              -84.41, dBm,
            78933284,Hz,              -84.40, dBm,
            78949950,Hz,              -84.42, dBm,
            78966616,Hz,              -84.47, dBm,
            78983282,Hz,              -84.52, dBm,
            78999948,Hz,              -84.57, dBm,
            79016614,Hz,              -84.61, dBm,
            79033280,Hz,              -84.62, dBm,
            79049946,Hz,              -84.60, dBm,
            79066612,Hz,              -84.56, dBm,
            79083278,Hz,              -84.53, dBm,
            79099944,Hz,              -84.50, dBm,
            79116610,Hz,              -84.47, dBm,
            79133276,Hz,              -84.45, dBm,
            79149942,Hz,              -84.44, dBm,
            79166608,Hz,              -84.43, dBm,
            79183274,Hz,              -84.42, dBm,
            79199940,Hz,              -84.41, dBm,
            79216606,Hz,              -84.41, dBm,
            79233272,Hz,              -84.43, dBm,
